slug,id,title,level,grades,type,topics,stepCount,requirements,summary,outcome,imageFile,shopUrl
"daisy--be-a-sister-to-every-girl-scout","7881126c-3bd9-4850-8e30-d5f5e0057517","Be a Sister to Every Girl Scout","Daisy","K-1","petal","","3","1. Celebrate your differences | 2. Learn about Girl Scouts from around the world | 3. Support your Girl Scout sisters","Discover how you can honor the Girl Scout sisterhood by celebrating your differences and supporting your fellow Girl Scouts!","When you've earned this badge, you will know what it means to be a sister to every Girl Scout.","images/daisy/daisy--be-a-sister-to-every-girl-scout.png","https://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--considerate-and-caring","fb1a5b7d-9b68-41ad-9637-5540a8982679","Considerate & Caring","Daisy","K-1","petal","","3","1. Be considerate and caring at home | 2. Be considerate and caring with friends | 3. Be considerate and caring in your community","Discover what it means to be considerate and caring to others in different areas of your life.","When you've earned this badge, you will know how to be considerate and caring with others.","images/daisy/daisy--considerate-and-caring.png","https://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--courageous-and-strong","ca609161-ae0d-4186-be1c-487bf41cffac","Courageous and Strong","Daisy","K-1","petal","","3","1. Find examples of courage and strength | 2. Honor courageous and strong people | 3. Practice being courageous and strong.","Learn about people who are courageous and strong and find out how to become one too!","When you've earned this badge, you will know what it means to be courageous and strong.","images/daisy/daisy--courageous-and-strong.png","https://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--friendly-and-helpful","56433f06-88d1-4934-a380-3d31d1cf1977","Friendly & Helpful","Daisy","K-1","petal","","3","1. Be friendly and helpful at home | 2. Be friendly and helpful in your troop | 3. Be friendly and helpful in your community","Explore how you can be friendly and helpful at home, in your troop, and in your community.","When you've earned this petal badge, you will know what it means to be friendly and helpful.","images/daisy/daisy--friendly-and-helpful.png","https://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--honest-and-fair","2ce3ba43-7d48-4f84-a25d-8f92fda41ffe","Honest & Fair","Daisy","K-1","petal","","3","1. Discover what it means to be honest | 2. Find out what it means to be fair | 3. Put it into practice","Find out how you can be honest and fair with others to build strong friendships!","When you've earned this badge, you will know what it means to be honest and fair.","images/daisy/daisy--honest-and-fair.png","https://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--make-the-world-a-better-place","4181fc50-c042-4e85-addb-1253b9555626","Make the World a Better Place","Daisy","K-1","petal","","3","1. Start with your community | 2. Protect the environment | 3. Be a changemaker","Learn how you can make a difference in the world around you and beyond.","When you've earned this badge, you will know different ways you can make the world a better place.","images/daisy/daisy--make-the-world-a-better-place.png","https://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--promise-center","b206ff05-9323-48ff-beef-02c582b013dc","Promise Center","Daisy","K-1","petal","","0","","Daisies earn the Promise Center by saying the Girl Scout Promise and talking about what it means to them.","","images/daisy/daisy--promise-center.png","http://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--respect-authority","f7701df0-94e1-4236-9383-8745bf8ef2f8","Respect Authority","Daisy","K-1","petal","","3","1. Respect home rules | 2. Respect authority at school | 3. Respect authority in your city or town When you've earned this badge, you will know what it means to respect authority.","Explore the rules and laws that you follow in your home, at school, and in your city or town!","","images/daisy/daisy--respect-authority.png","https://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--respect-myself-and-others","541467e4-dc93-4382-b2aa-fb496be45cb1","Respect Myself and Others","Daisy","K-1","petal","","3","1. Show respect for yourself | 2. Learn how to respect others | 3. Respect your community","Find new ways to show respect for yourself, your friends and family, and your community.","When you've earned this badge, you will know what it means to respect yourself and others.","images/daisy/daisy--respect-myself-and-others.png","http://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
"daisy--responsible-for-what-i-say-and-do","3723e735-5249-41d6-a689-1a75b6e9e542","Responsible For What I Say and Do","Daisy","K-1","petal","","3","1. Be responsible for what you say | 2. Be responsible for what you do | 3. Be responsible in the community","Explore the special power of your words and actions and learn how to be responsible with them.","When you've earned this badge, you will know how to be responsbile for what you say and do.","images/daisy/daisy--responsible-for-what-i-say-and-do.png","http://www.girlscoutshop.com/Daisy-Petals-Set?utm_campaign=National_Site&utm_medium=National_Site_Image&utm_source=Badge_Explorer"
